depth(m)	d18O(permil)
340.46	1.214
340.56	1.289
340.66	1.64
340.76	1.516
340.86	1.344
340.96	1.086
341.06	1.113
341.16	0.76
341.26	1.138
341.36	1.329
341.46	1.08
341.56	1.216
341.66	1.081
341.76	1.214
341.86	1.268
341.96	1.049
342.06	1.175
342.16	1.518
342.26	1.85
342.36	1.718
342.46	1.326
342.56	1.586
342.62	1.39
342.72	1.1
342.82	1.11
342.92	1.48
343.02	1.53
343.12	1.43
343.22	1.38
343.32	1.37
343.42	1.44
343.52	1.68
343.62	1.23
343.72	1.06
343.92	1.4
344.02	1.76
344.12	1.69
344.22	1.3
344.32	1.27
344.42	1.22
344.52	1.66
344.62	1.41
344.72	1.12
344.82	1.55
344.92	1.11
345.02	1.63
345.12	1.66
345.22	1.56
345.32	1.52
345.42	1.49
345.52	1.33
345.62	1.19
345.72	1.16
345.82	1.11
345.92	1.04
346.02	1.23
346.12	1.47
346.22	1.28
346.26	1.502
346.36	1.556
346.46	1.531
346.96	1.843
347.06	1.871
347.16	1.884
347.26	1.745
347.37	1.806
347.46	1.624
347.56	1.278
347.66	1.478
347.76	1.229
347.86	1.189
347.96	1.058
348.06	1.255
348.16	1.876
348.26	1.521
348.36	1.291
348.46	1.187
348.57	1.205
348.66	1.163
348.76	1.005
348.86	0.962
348.94	1.705
349.06	1.536
349.16	1.672
349.26	1.511
349.36	1.297
349.47	1.449
349.56	1.469
349.66	1.538
349.76	1.562
349.86	1.589
349.96	1.659
350.06	1.589
350.17	1.493
350.21	1.589
350.31	1.837
350.41	1.466
350.51	1.185
350.61	0.651
350.71	0.543
350.81	0.776
350.91	1.203
351.01	0.662
351.11	0.551
351.21	0.559
351.31	0.909
351.41	0.816
351.51	0.386
351.61	0.515
351.63	0.76
351.73	0.49
351.83	1.07
351.93	1.41
352.03	1.73
352.13	1.68
352.23	1.72
352.33	1.7
352.43	1.77
352.53	1.75
352.63	1.75
352.73	1.76
352.83	1.72
352.93	1.66
353.03	1.37
353.13	1.37
353.23	1.5
353.33	1.63
353.43	1.7
353.53	1.22
353.63	1.39
353.73	1.39
353.83	1.16
353.93	1.07
354.03	1.45
354.13	1.22
354.23	1.33
354.33	1.74
354.43	1.64
354.53	1.51
354.63	1.58
354.73	1.76
354.83	1.62
354.93	1.52
355.03	1.45
355.13	1.55
355.23	1.46
355.33	1.38
355.43	1.49
355.53	1.65
355.63	1.75
355.73	1.7
355.83	1.5
355.93	1.45
356.03	1.33
356.13	1.65
356.23	1.67
356.33	1.68
356.43	1.74
356.53	1.71
356.63	1.66
