depth(m)	age(kyr)
340.46	15150
340.56	15156
340.66	15162
340.76	15169
340.86	15175
340.96	15181
341.06	15187
341.16	15193
341.26	15198
341.36	15204
341.46	15208
341.56	15214
341.66	15219
341.76	15224
341.86	15229
341.96	15233
342.06	15240
342.16	15247
342.26	15254
342.36	15261
342.46	15268
342.56	15275
342.62	15279
342.72	15286
342.82	15290
342.92	15294
343.02	15298
343.12	15302
343.22	15306
343.32	15309
343.42	15313
343.52	15317
343.62	15321
343.72	15325
343.92	15332
344.02	15336
344.12	15339
344.22	15343
344.32	15346
344.42	15350
344.52	15353
344.62	15357
344.72	15360
344.82	15364
344.92	15367
345.02	15371
345.12	15374
345.22	15378
345.32	15381
345.42	15385
345.52	15388
345.62	15392
345.72	15395
345.82	15399
345.92	15402
346.02	15405
346.12	15408
346.22	15411
346.26	15412
346.36	15415
346.46	15418
346.96	15433
347.06	15436
347.16	15439
347.26	15442
347.37	15445
347.46	15448
347.56	15451
347.66	15454
347.76	15457
347.86	15460
347.96	15462
348.06	15465
348.16	15468
348.26	15471
348.36	15474
348.46	15477
348.57	15481
348.66	15485
348.76	15489
348.86	15493
348.94	15496
349.06	15501
349.16	15506
349.26	15510
349.36	15514
349.47	15518
349.56	15522
349.66	15526
349.76	15530
349.86	15535
349.96	15539
350.06	15543
350.17	15547
350.21	15549
350.31	15553
350.41	15557
350.51	15562
350.61	15566
350.71	15570
350.81	15572
350.91	15575
351.01	15578
351.11	15581
351.21	15584
351.31	15587
351.41	15590
351.51	15593
351.61	15597
351.63	15598
351.73	15603
351.83	15608
351.93	15613
352.03	15617
352.13	15622
352.23	15627
352.33	15632
352.43	15637
352.53	15642
352.63	15647
352.73	15652
352.83	15657
352.93	15661
353.03	15666
353.13	15671
353.23	15676
353.33	15681
353.43	15686
353.53	15691
353.63	15696
353.73	15700
353.83	15705
353.93	15710
354.03	15715
354.13	15720
354.23	15726
354.33	15733
354.43	15740
354.53	15747
354.63	15753
