Age(kyr)	mean(permil)	sigma(permil)
15100	1.05	0.22
15103	1.42	0.22
15107	1.58	0.22
15111	1.57	0.22
15115	1.74	0.22
15119	1.2	0.22
15122	1.28	0.22
15126	1.61	0.22
15129	1.47	0.22
15133	1.55	0.22
15136	1.66	0.22
15139	1.48	0.22
15142	1.47	0.22
15146	1.71	0.22
15148	1.47	0.22
15151	1.31	0.22
15154	1.6	0.22
15158	1.55	0.22
15161	1.54	0.22
15164	1.51	0.22
15168	1.47	0.22
15171	1.34	0.22
15174	1.29	0.22
15177	1.21	0.22
15181	1.62	0.22
15184	1.51	0.22
15187	1.36	0.22
15191	1.14	0.22
15194	0.76	0.22
15200	0.97	0.22
15205	1.26	0.22
15211	1.09	0.22
15217	1.05	0.22
15223	1.28	0.22
15228	1.46	0.22
15234	1.44	0.22
15240	1.75	0.22
15246	1.69	0.22
15251	1.59	0.22
15257	1.61	0.22
15263	1.49	0.22
15269	1.68	0.22
15274	1.74	0.22
15280	1.45	0.22
15286	1.25	0.22
15290	1.5	0.22
15295	1.26	0.22
15299	1.35	0.22
15303	1.03	0.22
15308	1.33	0.22
15312	1.56	0.22
15316	1.7	0.22
15321	1.25	0.22
15325	1.21	0.22
15328	1.32	0.22
15330	1.64	0.22
15333	1.7	0.22
15336	1.66	0.22
15339	1.66	0.22
15341	1.8	0.22
15344	1.81	0.22
15347	1.77	0.22
15350	1.6	0.22
15352	1.54	0.22
15355	1.58	0.22
15358	1.26	0.22
15361	1.71	0.22
15363	1.8	0.22
15366	1.51	0.22
15369	1.56	0.22
15372	1.51	0.22
15374	1.64	0.22
15377	1.72	0.22
15380	1.68	0.22
15383	1.63	0.22
15385	1.55	0.22
15388	1.41	0.22
15391	1.55	0.22
15393	1.77	0.22
15396	1.59	0.22
15399	1.65	0.22
15402	1.68	0.22
15404	1.45	0.22
15407	1.82	0.22
15413	1.82	0.22
15415	1.84	0.22
15418	1.78	0.22
15421	1.79	0.22
15424	1.64	0.22
15426	1.53	0.22
15429	1.47	0.22
15432	1.42	0.22
15437	1.27	0.22
15440	1.15	0.22
15443	1.47	0.22
15447	1.58	0.22
15452	1.59	0.22
15456	1.46	0.22
15460	1.46	0.22
15464	1.36	0.22
15468	1.2	0.22
15472	1.22	0.22
15476	1.14	0.22
15480	1.45	0.22
15485	1.59	0.22
15489	1.52	0.22
15493	1.2	0.22
15497	1.24	0.22
15501	1.06	0.22
15506	1.39	0.22
15510	1.37	0.22
15514	1.27	0.22
15518	1.02	0.22
15520	1.28	0.22
15521	1.45	0.22
15523	1.63	0.22
15525	1.75	0.22
15527	1.72	0.22
15528	1.77	0.22
15530	1.63	0.22
15532	1.58	0.22
15534	1.45	0.22
15535	1.49	0.22
15537	1.67	0.22
15539	1.65	0.22
15541	1.64	0.22
15543	1.63	0.22
15544	1.57	0.22
15546	1.64	0.22
15548	1.52	0.22
15550	1.61	0.22
15551	1.5	0.22
15553	1.48	0.22
15555	1.54	0.22
15556	1.41	0.22
15558	1.39	0.22
15560	1.27	0.22
15561	1.59	0.22
15563	1.49	0.22
15565	1.18	0.22
15567	1.08	0.22
15568	1.14	0.22
15570	0.67	0.22
15575	0.77	0.22
15580	1.16	0.22
15585	1	0.22
15590	0.67	0.22
15600	1.3	0.22
15605	1.24	0.22
15610	0.67	0.22
15613	0.86	0.22
15617	1.34	0.22
15624	1.93	0.22
15627	1.68	0.22
15630	1.65	0.22
15634	1.89	0.22
15637	1.65	0.22
15641	1.66	0.22
15644	1.65	0.22
15648	1.59	0.22
15651	1.49	0.22
15655	1.49	0.22
15658	1.46	0.22
15661	1.35	0.22
15665	1.49	0.22
15668	1.6	0.22
15671	1.59	0.22
15675	1.66	0.22
15678	1.69	0.22
15682	1.41	0.22
15685	1.06	0.22
15689	1.26	0.22
15694	1.46	0.22
15698	1.16	0.22
15703	1.14	0.22
15707	1.5	0.22
15711	1.46	0.22
15715	1.57	0.22
15720	1.39	0.22
15724	1.38	0.22
15727	1.9	0.22
15730	1.8	0.22
15734	1.71	0.22
15735	1.66	0.22
15738	1.78	0.22
15741	1.64	0.22
15745	1.74	0.22
15748	1.57	0.22
15751	1.6	0.22
15754	1.64	0.22
15761	1.54	0.22
15764	1.38	0.22
15768	1.46	0.22
15771	1.48	0.22
15774	1.65	0.22
15777	1.81	0.22
15781	1.89	0.22
15784	1.63	0.22
15787	1.36	0.22
15790	1.6	0.22
15794	1.7	0.22
15797	1.49	0.22
15800	1.35	0.22
15804	1.42	0.22
15808	1.64	0.22
15812	1.64	0.22
15815	1.61	0.22
15820	1.7	0.22
15824	1.69	0.22
15828	1.6	0.22
15832	1.64	0.22
15836	1.8	0.22
15840	1.69	0.22
15843	1.61	0.22
15847	1.69	0.22
15851	1.43	0.22
15855	1.41	0.22
15859	1.79	0.22
15863	1.7	0.22
15868	1.58	0.22
15872	1.48	0.22
15876	1.55	0.22
